Localidad,Provincia,Auto_año,Tipo_de_auto,Marca,Modelo
Lomas de zamora,Buenos Aires,2011,Sedan 4 ptas,Ford,Focusexe
Lomas de zamora,Buenos Aires,2006,Sedan 4 puertas,Chevrolet,Corsa
Adrogue,Buenos Aires,1992,Sedan 4 ptas,Peugeot,504
Lomas de zamora,Buenos Aires,1992,Sedan 4 ptas,Fiat,Duna
Berazategui,Buenos Aires,1993,Sedan 4 puertas,Peugeot,504
Berazategui,Buenos Aires,2000,Sedan 4 ptas,Fiat,Duna
Zarate,Buenos Aires,1994,Sedan 4 ptas,Peugeot,405
Lomas de zamora,Buenos Aires,2014,Sedan 4 puertas,Chevrolet,Classic
Lomas de zamora,Buenos Aires,2001,Sedan 4 puertas,Fiat,Siena
San pedro,Buenos Aires,2015,Sedan 4 puertas,Chevrolet,Classic
La matanza,Buenos Aires,2007,Sedan 4 puertas,Chevrolet,Corsa
La matanza,Buenos Aires,2004,Sedan 4 ptas,Volkswagen,Polo
San martin,Buenos Aires,2012,Sedan 4 puertas,Chevrolet,Classic
Jose c. paz,Buenos Aires,2018,Sedan 4 puertas,Renault,Nuevo
San martin,Buenos Aires,1994,Sedan 4 ptas,Peugeot,505
Quilmes,Buenos Aires,2008,Sedan 4 ptas,Fiat,Siena
Tres de febrero,Buenos Aires,1999,Sedan 4 ptas,Volkswagen,Polo
Tres de febrero,Buenos Aires,2009,Sedan 4 ptas,Fiat,Siena
San martin,Buenos Aires,2005,Sedan 4 ptas,Peugeot,Partner
La matanza,Buenos Aires,2019,Sedan 4 puertas,Renault,Nuevo
Tres de febrero,Buenos Aires,2016,Sedan 4 ptas,Chevrolet,Classic
La matanza,Buenos Aires,2009,Sedan 4 ptas,Ford,Focusexe
San vicente,Buenos Aires,2008,Sedan 4 ptas,Fiat,Siena
Moron,Buenos Aires,1995,Sedan 4 ptas,Fiat,Duna
La matanza,Buenos Aires,2012,Sedan 4 ptas,Peugeot,408
Jose c. paz,Buenos Aires,2014,Sedan 4 puertas,Peugeot,408
La matanza,Buenos Aires,2001,Sedan 4 ptas,Volkswagen,Polo
San vicente,Buenos Aires,2009,Sedan 4 ptas,Chevrolet,Corsa
Quilmes,Buenos Aires,2009,Sedan 4 puertas,Fiat,Siena
San vicente,Buenos Aires,2018,Sedan 4 puertas,Fiat,Cronos
Escobar,Buenos Aires,1999,Sedan 5 puertas,Fiat,Duna
La plata,Buenos Aires,1998,Sedan 4 ptas,Volkswagen,Polo
Tres de febrero,Buenos Aires,2005,Sedan 4 puertas,Volkswagen,Polo
San martin,Buenos Aires,2005,Sedan 4 ptas,Citroen,Berlingo
Mar del plata,Buenos Aires,1996,Sedan 4 ptas,Volkswagen,Pointer
Lomas de zamora,Buenos Aires,2013,Sedan 4 ptas,Chevrolet,Classic
Florencio varela,Buenos Aires,2006,Sedan 4 ptas,Chevrolet,Classic
Merlo,Buenos Aires,2022,Sedan 4 puertas,Fiat,Cronos
Merlo,Buenos Aires,2001,Sedan 4 puertas,Seat,Cordoba
Lujan,Buenos Aires,1994,Sedan 4 ptas,Fiat,Duna
Merlo,Buenos Aires,1995,Sedan 4 ptas,Renault,Renault
Merlo,Buenos Aires,2013,Sedan 4 ptas,Chevrolet,Classic
Quilmes,Buenos Aires,1996,Sedan 4 puertas,Ford,Orion
Florencio varela,Buenos Aires,1996,Sedan 4 ptas,Peugeot,P
San martin,Buenos Aires,1992,Sedan 4 ptas,Renault,Renault
Malvinas argentinas nº 1 (ex. san miguel nro. 4),Buenos Aires,1996,Sedan 4 ptas,Renault,Renault
Magdalena,Buenos Aires,2001,Sedan 4 puertas,Seat,Cordoba
Magdalena,Buenos Aires,2009,Sedan 4 ptas,Chevrolet,Corsa
Avellaneda,Buenos Aires,2014,Sedan 4 puertas,Citroen,C4
Malvinas argentinas nº 2 (ex. san miguel nro. 5),Buenos Aires,2006,Sedan 4 ptas,Peugeot,Partner
Moreno,Buenos Aires,2013,Sedan 4 puertas,Peugeot,408
Quilmes,Buenos Aires,2011,Sedan 4 puertas,Ford,Focusexe
Quilmes,Buenos Aires,2015,Sedan 4 puertas,Fiat,Siena
Malvinas argentinas nº 2 (ex. san miguel nro. 5),Buenos Aires,1994,Sedan 4 puertas,Fiat,Duna
Lujan,Buenos Aires,1996,Sedan 4 puertas,Renault,9
Lomas de zamora,Buenos Aires,1999,Sedan 4 puertas,Chevrolet,Corsa
La matanza,Buenos Aires,2020,Sedan 4 puertas,Fiat,Cronos
Lomas de zamora,Buenos Aires,2007,Sedan 4 ptas,Renault,Clio
Moron,Buenos Aires,2008,Sedan 4 ptas,Chevrolet,Corsa
Moron,Buenos Aires,2012,Sedan 4 ptas,Chevrolet,Classic
Moron,Buenos Aires,1993,Sedan 4 ptas,Volkswagen,Vw
Moron,Buenos Aires,2007,Sedan 4 ptas,Renault,Megane
Lujan,Buenos Aires,2000,Sedan 4 ptas,Fiat,Siena
Lujan,Buenos Aires,1980,Sedan 4 ptas,Renault,Renault
Pergamino,Buenos Aires,1997,Sedan 4 ptas,Renault,Renault
Florencio varela,Buenos Aires,2012,Sedan 4 ptas,Peugeot,408
Avellaneda,Buenos Aires,2010,Sedan 4 ptas,Chevrolet,Classic
Merlo,Buenos Aires,2000,Sedan 4 ptas,Fiat,Duna
Lomas de zamora,Buenos Aires,2013,Sedan 4 puertas,Ford,Focusexe
Lomas de zamora,Buenos Aires,2000,Sedan 3 puertas,Renault,Clio
Marcos paz,Buenos Aires,2004,Sedan 4 ptas,Citroen,Berlingo
Lomas de zamora,Buenos Aires,2016,Sedan 4 puertas,Citroen,C4
Marcos paz,Buenos Aires,1999,Sedan 4 ptas,Fiat,Siena
Marcos paz,Buenos Aires,2012,Sedan 4 ptas,Fiat,Siena
Lanus,Buenos Aires,1997,Sedan 4 ptas,Fiat,Duna
Lomas de zamora,Buenos Aires,2014,Sedan 4 puertas,Citroen,C4
Quilmes,Buenos Aires,1993,Sedan 4 puertas,Peugeot,504
Avellaneda,Buenos Aires,2007,Familiar,Peugeot,807
San miguel,Buenos Aires,2014,Sedan 4 puertas,Chevrolet,Classic
Esteban echeverria,Buenos Aires,2021,Sedan 4 puertas,Fiat,Cronos
Lanus,Buenos Aires,2000,Sin especificacion,Peugeot,504
Esteban echeverria,Buenos Aires,2021,Sedan 4 puertas,Fiat,Cronos
San isidro,Buenos Aires,2013,Sedan 4 puertas,Honda,City
Esteban echeverria,Buenos Aires,2001,Sedan 4 puertas,Fiat,Siena
Magdalena,Buenos Aires,2004,Sedan 4 puertas,Renault,Cli2
Lanus,Buenos Aires,2007,Sedan 4 ptas,Renault,Clio
Quilmes,Buenos Aires,2014,Sedan 4 puertas,Chevrolet,Classic
Quilmes,Buenos Aires,1999,Sedan,Chevrolet,Corsa
Esteban echeverria,Buenos Aires,1995,Sedan 4 puertas,Fiat,Duna
Lomas de zamora,Buenos Aires,1997,Sedan 4 ptas,Fiat,Duna
Merlo,Buenos Aires,2012,Sedan 4 ptas,Peugeot,408
Ituzaingo nº 1 (ex. moron nº 8),Buenos Aires,2015,Sedan 4 puertas,Chevrolet,Classic
Ituzaingo nº 1 (ex. moron nº 8),Buenos Aires,2009,Sedan 4 puertas,Chevrolet,Corsa
Merlo,Buenos Aires,1999,Sedan 4 ptas,Peugeot,405sillage
Moreno,Buenos Aires,1993,Sedan 4 ptas,Renault,9
General rodriguez,Buenos Aires,2013,Sedan 4 puertas,Fiat,Siena
San miguel,Buenos Aires,1992,Sedan 4 puertas,Volkswagen,Vw
San miguel,Buenos Aires,1995,Sedan 4 ptas,Renault,Renault
Moreno,Buenos Aires,1999,Sedan 4 ptas,Fiat,Siena
Moreno,Buenos Aires,2007,Sedan 4 puertas,Chevrolet,Corsa
Lomas de zamora,Buenos Aires,1993,Sedan 4 puertas,Fiat,Duna
Moreno,Buenos Aires,2007,Sedan 4 puertas,Peugeot,307
Mar del plata,Buenos Aires,1996,Sedan 4 ptas,Volkswagen,Pointer
San isidro,Buenos Aires,1998,Familiar,Chrysler,Caravan
Tres de febrero,Buenos Aires,1997,Sedan 4 ptas,Renault,Megane
San isidro,Buenos Aires,1999,Familiar,Renault,Kangoo
Esteban echeverria,Buenos Aires,2021,Sedan 4 puertas,Fiat,Cronos
Merlo,Buenos Aires,2011,Sedan 4 ptas,Fiat,Siena
Moreno,Buenos Aires,2015,Sedan 4 puertas,Chevrolet,Classic
Moreno,Buenos Aires,2009,Sedan 4 puertas,Chevrolet,Corsa
Mar del plata,Buenos Aires,2011,Sedan 4 ptas,Peugeot,408
Esteban echeverria,Buenos Aires,2010,Sedan 4 puertas,Chevrolet,Classic
Capital federal,Ciudad Autónoma de Bs.As.,1991,Sedan 4 puertas,Fiat,Duna
Pilar,Buenos Aires,2011,Sedan 4 ptas,Chevrolet,Classic
Capital federal,Ciudad Autónoma de Bs.As.,1994,Sedan 4 ptas,Volkswagen,Vw
Pilar,Buenos Aires,1999,Sedan 4 ptas,Fiat,Uno
Esteban echeverria,Buenos Aires,1996,Sedan 4 ptas,Fiat,Duna
Esteban echeverria,Buenos Aires,2010,Sedan 4 ptas,Ford,Focusexe
Capital federal,Ciudad Autónoma de Bs.As.,2006,Sedan 4 ptas,Renault,Clio
La plata,Buenos Aires,1999,Sedan 4 ptas,Peugeot,306
Ensenada,Buenos Aires,1999,Familiar,Renault,Kangoo
Moreno,Buenos Aires,2011,Sedan 4 puertas,Chevrolet,Classic
Moreno,Buenos Aires,1994,Sedan 4 puertas,Volkswagen,Vw
Capital federal,Ciudad Autónoma de Bs.As.,1985,Berlina 5 ptas.,Renault,Renault
La plata,Buenos Aires,1997,Sedan 4 puertas,Volkswagen,Polo
Capital federal,Ciudad Autónoma de Bs.As.,2001,Sedan 4 ptas,Seat,Cordoba
Quilmes,Buenos Aires,2006,Sedan 4 ptas,Citroen,Berlingo
La matanza,Buenos Aires,2008,Sedan 4 ptas,Renault,Megane
Quilmes,Buenos Aires,2000,Sedan 4 puertas,Chevrolet,Corsa
Campana,Buenos Aires,1984,Sedan 4 puertas,Renault,Renault
Moreno,Buenos Aires,2013,Sedan 4 puertas,Chevrolet,Classic
Capital federal,Ciudad Autónoma de Bs.As.,1996,Sedan 4pts,Volkswagen,Vw
Moreno,Buenos Aires,2009,Sedan 4 ptas,Renault,Kangoo
Capital federal,Ciudad Autónoma de Bs.As.,2015,Sedan 4 puertas,Citroen,C4
La matanza,Buenos Aires,1994,Sedan 4 ptas,Volkswagen,Vw
La matanza,Buenos Aires,1998,Sedan 4 puertas,Renault,Renault
Zarate,Buenos Aires,2014,Sedan 4 puertas,Peugeot,408
Capital federal,Ciudad Autónoma de Bs.As.,2012,Sedan 4 puertas,Fiat,Siena
Capital federal,Ciudad Autónoma de Bs.As.,1993,Sedan 4 ptas,Volkswagen,Vw
Capital federal,Ciudad Autónoma de Bs.As.,1999,Sedan 4 ptas,Fiat,Duna
Capital federal,Ciudad Autónoma de Bs.As.,0,Sin especificacion,Fiat,Fiat
Capital federal,Ciudad Autónoma de Bs.As.,1995,Sedan 4 ptas,Renault,R
Capital federal,Ciudad Autónoma de Bs.As.,2013,Sedan 4 puertas,Chevrolet,Classic
La matanza,Buenos Aires,1995,Sedan 4 ptas,Renault,Renault
Capital federal,Ciudad Autónoma de Bs.As.,2013,Sedan 4 p,Peugeot,408
Capital federal,Ciudad Autónoma de Bs.As.,1998,Sedan 4 ptas,Volkswagen,Polo
Capital federal,Ciudad Autónoma de Bs.As.,2014,Sedan 4 puertas,Chevrolet,Classic
Capital federal,Ciudad Autónoma de Bs.As.,2003,Sedan 4 ptas,Peugeot,Partner
Capital federal,Ciudad Autónoma de Bs.As.,2000,Sedan 4 puertas,Fiat,Uno
Capital federal,Ciudad Autónoma de Bs.As.,2006,Sedan 4 ptas,Chevrolet,Corsa
Capital federal,Ciudad Autónoma de Bs.As.,2015,Sedan 4 puertas,Fiat,Siena
Capital federal,Ciudad Autónoma de Bs.As.,2013,Sedan 4 puertas,Fiat,Siena
Capital federal,Ciudad Autónoma de Bs.As.,2013,Sedan 4 puertas,Chevrolet,Classic
Capital federal,Ciudad Autónoma de Bs.As.,2010,Sedan 4 ptas,Fiat,Siena
Capital federal,Ciudad Autónoma de Bs.As.,1989,Sedan 4 puertas,Peugeot,504sr
Capital federal,Ciudad Autónoma de Bs.As.,1998,Sedan 4 puertas,Volkswagen,Polo
Capital federal,Ciudad Autónoma de Bs.As.,2014,Sedan 4 puertas,Citroen,C4
Capital federal,Ciudad Autónoma de Bs.As.,2005,Sedan 4 ptas,Chevrolet,Corsa
Capital federal,Ciudad Autónoma de Bs.As.,2016,Sedan 4 puertas,Chevrolet,Classic
Capital federal,Ciudad Autónoma de Bs.As.,2000,Sedan 4 ptas,Peugeot,306brln4aa
Capital federal,Ciudad Autónoma de Bs.As.,2007,Sedan 4 ptas,Peugeot,Partner
Capital federal,Ciudad Autónoma de Bs.As.,2013,Sedan 4 puertas,Chevrolet,Classic
Capital federal,Ciudad Autónoma de Bs.As.,2012,Sedan 4 ptas,Fiat,Siena
Capital federal,Ciudad Autónoma de Bs.As.,2013,Sedan 4 puertas,Fiat,Siena
Capital federal,Ciudad Autónoma de Bs.As.,2011,Sedan 4 ptas,Chevrolet,Classic
Capital federal,Ciudad Autónoma de Bs.As.,2010,Sedan 4 ptas,Ford,Focusexe
Capital federal,Ciudad Autónoma de Bs.As.,1998,Sedan 4 ptas,Renault,Renault
Capital federal,Ciudad Autónoma de Bs.As.,2008,Sedan 4 puertas,Ford,Focus
Capital federal,Ciudad Autónoma de Bs.As.,2015,Sedan 4 puertas,Fiat,Siena
Capital federal,Ciudad Autónoma de Bs.As.,2009,Sedan 4 ptas,Ford,Focusexe
San martin,Buenos Aires,1993,Sedan 4 ptas,Fiat,Duna
Capital federal,Ciudad Autónoma de Bs.As.,1997,Sedan 4 ptas,Peugeot,504
Lanus,Buenos Aires,2013,Sedan 4 ptas,Renault,Fluence
Capital federal,Ciudad Autónoma de Bs.As.,1986,Sedan 4 ptas,Peugeot,505
Capital federal,Ciudad Autónoma de Bs.As.,2007,Sedan 4 ptas,Chevrolet,Corsa
Lanus,Buenos Aires,2007,Sedan 4 ptas,Peugeot,Partner
Hurlingham,Buenos Aires,2015,Sedan 4 puertas,Fiat,Siena
Lanus,Buenos Aires,1994,Sedan 4 puertas,Peugeot,405
San martin,Buenos Aires,2012,Sedan 4 puertas,Renault,Fluence
Merlo,Buenos Aires,1996,Sedan 4 puertas,Ford,Orion
Mar del plata,Buenos Aires,2015,Sedan 4 puertas,Chevrolet,Classic
Mar del plata,Buenos Aires,2007,Sedan 4 puertas,Renault,Megane
Mar del plata,Buenos Aires,1994,Sedan 4 ptas,Volkswagen,Vw
Mar del plata,Buenos Aires,1994,Sedan 4 ptas,Fiat,Uno
Capital federal,Ciudad Autónoma de Bs.As.,1999,Sedan 4 ptas,Fiat,Duna
Capital federal,Ciudad Autónoma de Bs.As.,2012,Sedan 4 ptas,Chevrolet,Classic
Tigre,Buenos Aires,1997,Sedan 4 ptas,Volkswagen,Polo
Capital federal,Ciudad Autónoma de Bs.As.,1993,Sedan 5 puertas,Ford,Escort
Capital federal,Ciudad Autónoma de Bs.As.,1998,Sedan 4 ptas,Renault,Clio
Capital federal,Ciudad Autónoma de Bs.As.,2009,Sedan 4 ptas,Renault,Kangoo
Capital federal,Ciudad Autónoma de Bs.As.,2003,Sedan 4 ptas,Volkswagen,Polo
Capital federal,Ciudad Autónoma de Bs.As.,2011,Sedan 4 ptas,Renault,Fluence
Capital federal,Ciudad Autónoma de Bs.As.,1989,Sedan 4 puertas,Renault,Renault
La matanza,Buenos Aires,2006,Sedan 4 puertas,Volkswagen,Polo
Lanus,Buenos Aires,2005,Sedan 4 ptas,Renault,Clio2
La matanza,Buenos Aires,2015,Sedan 4 puertas,Fiat,Siena
Capital federal,Ciudad Autónoma de Bs.As.,2022,Sedan 4 puertas,Fiat,Cronos
Capital federal,Ciudad Autónoma de Bs.As.,2013,Sedan 4 puertas,Ford,Focusexe
La matanza,Buenos Aires,2019,Sedan 4 puertas,Renault,Nuevo
Capital federal,Ciudad Autónoma de Bs.As.,1986,Sedan 4 puertas,Volkswagen,Gacel
La matanza,Buenos Aires,2019,Sedan 4 puertas,Renault,Nuevo
Capital federal,Ciudad Autónoma de Bs.As.,2016,Sedan 4 puertas,Citroen,C4
Merlo,Buenos Aires,1999,Sedan 4 ptas,Fiat,Duna
La matanza,Buenos Aires,2014,Sedan 4 puertas,Peugeot,408
Mendoza,Mendoza,2011,Sedan 4 ptas,Chevrolet,Classic
Cordoba,Córdoba,2011,Sedan 4 ptas,Chevrolet,Classic
Sunchales,Santa Fe,2012,Sedan 4 puertas,Chevrolet,Classic
Villa constitucion,Santa Fe,1993,Sedan 4 ptas,Fiat,Duna
Santa fe,Santa Fe,1993,Sedan 4 ptas,Fiat,Duna
Villa allende,Córdoba,2001,Sedan 4 ptas,Fiat,Siena
Mendoza,Mendoza,2000,Sedan 4 ptas,Volkswagen,Polo
Cordoba,Córdoba,2020,Sedan 4 puertas,Fiat,Cronos
Cordoba,Córdoba,1994,Sedan 4 ptas,Peugeot,405
Cordoba,Córdoba,2010,Sedan 4 ptas,Chevrolet,Classic
Cordoba,Córdoba,2010,Sedan 4 ptas,Citroen,C4
Rosario,Santa Fe,2010,Sedan 4 puertas,Fiat,Siena
Mendoza,Mendoza,2014,Sedan 4 puertas,Ford,Focus
Cordoba,Córdoba,2022,Sedan 4 puertas,Fiat,Cronos
Mendoza,Mendoza,2006,Sedan 4 ptas,Chevrolet,Corsa
Cordoba,Córdoba,1999,Sedan 4 ptas,Fiat,Siena
Mendoza,Mendoza,2010,Sedan 4 ptas,Ford,Focusexe
Cordoba,Córdoba,1994,Sedan 4 ptas,Fiat,Duna
Rosario,Santa Fe,1999,Sedan,Chevrolet,Corsa
Goya,Corrientes,2012,Sedan 4 ptas,Peugeot,408
Cordoba,Córdoba,1999,Sedan 4 ptas,Chevrolet,Corsa
Mendoza,Mendoza,1995,Sedan 4 puertas,Renault,Renault
Rosario,Santa Fe,2003,Sedan 4 ptas,Volkswagen,Polo
Rosario,Santa Fe,1995,Sedan 4 ptas,Fiat,Duna
Rosario,Santa Fe,2000,Sedan 4 ptas,Renault,Kangoo
Santa fe,Santa Fe,1995,Sedan 4 puertas,Fiat,Duna
Cordoba,Córdoba,2015,Sedan 4 puertas,Chevrolet,Classic
Cordoba,Córdoba,2010,Sedan 4 ptas,Chevrolet,Classic
Bella vista,Corrientes,2021,Sedan 4 puertas,Fiat,Cronos
Mendoza,Mendoza,1992,Sedan 4 ptas,Fiat,Duna
Mendoza,Mendoza,1991,Sedan 4 ptas,Fiat,Regatta
Cordoba,Córdoba,2001,Sedan 4 ptas,Volkswagen,Polo
Cordoba,Córdoba,1998,Sedan 4 ptas,Renault,Renault
La calera,Córdoba,2007,Sedan 4 ptas,Renault,Megane
San genaro,Santa Fe,2011,Sedan 4 ptas,Fiat,Siena
Cordoba,Córdoba,1999,Sedan 4 ptas,Volkswagen,Polo
Maipu nº 1- mendoza,Mendoza,1987,Sedan 4 ptas,Ford,Falcon
Mendoza,Mendoza,1994,Sedan 4 ptas,Peugeot,504
Mendoza,Mendoza,2005,Sedan 4 puertas,Renault,Clio2
Cordoba,Córdoba,2012,Sedan 4 ptas,Renault,Renault
Cordoba,Córdoba,2010,Sedan 4 ptas,Renault,Renault
Cordoba,Córdoba,1994,Sedan 4 ptas,Fiat,Duna
Maipu,Mendoza,1993,Sedan 4 ptas,Fiat,Duna
Cordoba,Córdoba,2006,Sedan 4 puertas,Chevrolet,Corsa
Maipu nº 1- mendoza,Mendoza,1998,Sedan 4 ptas,Volkswagen,Polo
Cordoba,Córdoba,2013,Sedan 4 puertas,Chevrolet,Classic
Mendoza,Mendoza,1995,Sedan 4 puertas,Volkswagen,Vw
Alta gracia,Córdoba,2004,Sedan 4 ptas,Volkswagen,Polo
Rio ceballos,Córdoba,2009,Sedan 4 puertas,Ford,Focusexe
Mendoza,Mendoza,2006,Sedan 4 puertas,Renault,Clio
Mendoza,Mendoza,0,Sedan 4 puertas,Fiat,Siena
Cosquin,Córdoba,2006,Sedan 4 ptas,Chevrolet,Corsa
Cosquin,Córdoba,1995,Sedan 4 ptas,Volkswagen,Vw
Cordoba,Córdoba,2011,Sedan 4 ptas,Renault,Symbol
Cordoba,Córdoba,0,Sedan 4 ptas,Fiat,Duna
Mendoza,Mendoza,1998,Sedan 4 ptas,Volkswagen,Polo
Cordoba,Córdoba,2016,Sedan 4 puertas,Peugeot,408
Cipolletti,Río Negro,2014,Sedan 4 puertas,Chevrolet,Classic
General san martin,Mendoza,1998,Sedan 4 ptas,Fiat,Siena
San rafael,Mendoza,2014,Sedan 4 puertas,Peugeot,408
Mendoza,Mendoza,0,Sedan 4 puertas,Ford,Sierra
Rivadavia,Mendoza,1998,Sedan 4 ptas,Fiat,Duna
Cordoba,Córdoba,2013,Sedan 4 puertas,Chevrolet,Classic
Mendoza,Mendoza,2007,Sedan 4 ptas,Chevrolet,Corsa
Cordoba,Córdoba,1993,Sedan 4 ptas,Renault,Renault
Cordoba,Córdoba,1998,Sedan 4 ptas,Volkswagen,Polo
Cordoba,Córdoba,2007,Sedan 4 ptas,Volkswagen,Polo
Villa la angostura,Neuquén,2016,Sedan 4 puertas,Citroen,C4
Neuquen,Neuquén,2014,Sedan 4 puertas,Chevrolet,Classic
Mendoza,Mendoza,2008,Sedan 4 ptas,Chevrolet,Corsa
Cordoba,Córdoba,2005,Sedan 4 ptas,Renault,Clio2
Cordoba,Córdoba,2007,Sedan 4 ptas,Renault,Megane
Cordoba,Córdoba,2012,Sedan 4 ptas,Fiat,Siena
Corrientes,Corrientes,2013,Sedan 4 ptas,Peugeot,408
Cordoba,Córdoba,1993,Sedan 4 ptas,Fiat,Uno
Rosario,Santa Fe,1994,Sedan 4 ptas,Renault,Renault
Rosario,Santa Fe,1993,Sedan 4 ptas,Fiat,Uno
Rosario,Santa Fe,1995,Sedan 4 ptas,Renault,Renault
Rosario,Santa Fe,2007,Sedan 4 ptas,Volkswagen,Polo
Cordoba,Córdoba,1994,Sedan 4 ptas,Peugeot,504
Mendoza,Mendoza,1992,Sedan 4 ptas,Fiat,Uno
Rosario,Santa Fe,2006,Sedan 4 ptas,Chevrolet,Corsa
Rosario,Santa Fe,2000,Sedan 4 ptas,Chevrolet,Corsa
San lorenzo,Santa Fe,1986,Sedan 4 puertas,Volkswagen,Gacel
Cordoba,Córdoba,2010,Sedan 4 ptas,Fiat,Siena
San rafael,Mendoza,1999,Sedan,Chevrolet,Corsa
General san martin,Mendoza,2005,Sedan 4 ptas,Chevrolet,Corsa
Arroyo seco,Santa Fe,1997,Sedan 4 ptas,Renault,Renault
Cordoba,Córdoba,1995,Sedan 4 ptas,Fiat,Duna
Rosario,Santa Fe,1995,Sedan 4 ptas,Peugeot,504
Rosario,Santa Fe,2008,Sedan 4 ptas,Chevrolet,Corsa
Mina clavero,Córdoba,1997,Sedan 4 ptas,Volkswagen,Polo
General san martin,Mendoza,1997,Sedan 4 ptas,Fiat,Uno
Rosario,Santa Fe,2012,Sedan 4 ptas,Fiat,Siena
Cordoba,Córdoba,2016,Sedan 4 puertas,Citroen,C4
Rosario,Santa Fe,1994,Sedan 4 ptas,Renault,Renault
Mendoza,Mendoza,2008,Sedan 4 ptas,Renault,Kangoo
Tucuman,Tucumán,2012,Sedan 4 ptas,Fiat,Siena
Rosario,Santa Fe,1999,Sedan,Chevrolet,Corsa
Cordoba,Córdoba,1998,Sedan 4 ptas,Renault,Renault
Mendoza,Mendoza,1997,Sedan 4 puertas,Volkswagen,Polo
Villa gobernador gálvez,Santa Fe,2007,Sedan 4 ptas,Renault,Megane
Formosa,Formosa,2017,Sedan 4 puertas,Chevrolet,Cruze
Tunuya,Mendoza,2007,Sedan 4 ptas,Peugeot,307
Capital federal,Ciudad Autónoma de Bs.As.,2007,Sedan 4 ptas,Renault,Clio
Cordoba,Córdoba,2018,Sedan 4 puertas,Fiat,Cronos
Rosario,Santa Fe,1996,Sedan 4 ptas,Renault,Renault
Rosario,Santa Fe,2008,Sedan 4 ptas,Renault,Kangoo
La matanza,Buenos Aires,1995,Sedan 2 puertas,Fiat,Spazio
San miguel,Buenos Aires,1998,Pick up,Mitsubishi,L200
La matanza,Buenos Aires,1999,Pick up,Mitsubishi,L200
La matanza,Buenos Aires,1996,Sedan 3 ptas,Volkswagen,Vw
Berazategui,Buenos Aires,2005,Pick up,Chevrolet,S10
La matanza,Buenos Aires,1994,Sedan 3 puertas,Volkswagen,Gol
Saladillo,Buenos Aires,1999,Sedan 2 ptas,Fiat,Uno
Adrogue,Buenos Aires,2005,Pick up,Fiat,Strada
Tres arroyos,Buenos Aires,2002,Pick up,Chevrolet,S10
Hurlingham nº 1 (ex. moron nº 4),Buenos Aires,0,Sedan 2 puertas,Fiat,600
Campana,Buenos Aires,1995,Sedan 2 ptas,Fiat,Uno
San vicente,Buenos Aires,1999,Pick up,Chevrolet,Luv
La matanza,Buenos Aires,1995,Sedan 2 ptas,Fiat,Uno
Lanus,Buenos Aires,1998,Sedan 2 ptas,Fiat,Uno
San martin,Buenos Aires,2007,Pick up,Ford,F-100
Lanus,Buenos Aires,1995,Sedan 2 ptas,Fiat,Spazio
La plata,Buenos Aires,1998,Sedan 2 ptas,Fiat,Fiat
Lanus,Buenos Aires,1999,Sedan 2 ptas,Fiat,Uno
Moron,Buenos Aires,1999,Sedan 3 ptas,Volkswagen,Gol
La matanza,Buenos Aires,1997,Sedan 2 ptas,Fiat,Uno
Florencio varela,Buenos Aires,2005,Pick up,Ford,F-100
Lomas de zamora,Buenos Aires,1994,Sedan 2 ptas,Fiat,Uno
Lanus,Buenos Aires,1999,Pick up,Isuzu,Tfs69hdei
Quilmes,Buenos Aires,1997,Pick-up,Ford,F-100
Lanus,Buenos Aires,1990,Sedan 2 ptas,Fiat,Spazio
Lomas de zamora,Buenos Aires,1996,Sedan 2 ptas,Fiat,Spazio
Moron,Buenos Aires,1999,Sedan 2 ptas,Fiat,Uno
La matanza,Buenos Aires,1994,Sedan 2 ptas,Fiat,Spazio
Pilar,Buenos Aires,2000,Sedan 2 ptas,Fiat,Uno
Olivos,Buenos Aires,2007,Pick up,Ford,F-100
Ituzaingo nº 1 (ex. moron nº 8),Buenos Aires,1998,Pick up,Ford,F-100
Berazategui,Buenos Aires,1985,Sedan 2 ptas,Fiat,147
Jose c. paz,Buenos Aires,1993,Sedan 2 ptas,Fiat,Uno
Quilmes nº 5 (ex 9),Buenos Aires,2006,Pick up,Chevrolet,S10
La plata,Buenos Aires,1993,Sedan 2 ptas,Fiat,Uno
Moron nº 04 (ex. moron nº 9),Buenos Aires,1994,Sedan 2 ptas,Fiat,Spazio
La matanza,Buenos Aires,1993,Sedan 2 ptas,Fiat,Uno
Berazategui,Buenos Aires,1994,Sedan 2 ptas,Fiat,Spazio
Moreno,Buenos Aires,1995,Sedan 2 puertas,Fiat,Uno
La plata,Buenos Aires,2002,Pick up,Ford,Courier
Tigre,Buenos Aires,2005,Pick up,Dodge,Ram
La matanza,Buenos Aires,2005,Pick up,Chevrolet,S10
La matanza,Buenos Aires,1998,Pick-up,Isuzu,Tfr55hdal
La plata,Buenos Aires,1998,Pick up,Kia,K2400
La plata,Buenos Aires,1991,Sedan 2 ptas,Fiat,Spazio
La matanza,Buenos Aires,1995,Sedan 2 ptas,Fiat,Spazio
La plata,Buenos Aires,1999,Sedan 2 ptas,Fiat,Uno
Florencio varela,Buenos Aires,1998,Pick up,Ford,F-150
Avellaneda,Buenos Aires,2004,Pick up,Chevrolet,S10
Pilar,Buenos Aires,1997,Pick up,Chevrolet,S10
Berisso,Buenos Aires,1998,Pick-up,Volkswagen,Saveiro
